Vendor|CardName|EffectiveDate|Terms|SignUpBonusValue|SignUpBonusType|slug-id|SpendAmount|SignupDurationMonths
Chase|Chase Sapphire Preferred Card|2025-03-26|Spend $5000 in 3 months|75000|Points|chase-sapphire-preferred-card|5000|3
Chase|Chase Sapphire Reserve|2025-08-21|Spend $6000 in 3 months|125000|Points|chase-sapphire-reserve|6000|3
Chase|Chase Freedom Unlimited||Spend $500 in 3 months|200|Cash|chase-freedom-unlimited|500|3
Chase|Chase Freedom Flex||Spend $500 in 3 months|200|Cash|chase-freedom-flex|500|3
Chase|Prime Visa||Approved with eligible Prime membership|200|Cash|prime-visa|0|0
Chase|Chase Sapphire Reserve|2025-08-21|Spend $6000 in 3 months|125000|Points|chase-sapphire-reserve|6000|3
Chase|United Explorer Card|2025-04-30|Spend $3000 in 3 months|70000|Miles|united-explorer-card|3000|3
Chase|Marriott Bonvoy Boundless Credit Card||Spend $3000 in 3 months + additional spend for full|150000|Points|marriott-bonvoy-boundless-credit-card|3000|3
Chase|Southwest Rapid Rewards Priority Credit Card|2025-02-03|Spend $3000 in 3 months|85000|Points|southwest-rapid-rewards-priority-credit-card|3000|3
Chase|IHG One Rewards Premier Credit Card||Spend $3000 in 3 months|140000|Points|ihg-one-rewards-premier-credit-card|3000|3
Chase|The World of Hyatt Credit Card||Spend $3000 in 3 months + additional spend|45000|Points|the-world-of-hyatt-credit-card|3000|3
Chase|United Quest Card||Spend $4000 in 3 months|70000|Miles|united-quest-card|4000|3
Chase|United Club Card||Spend $5000 in 3 months|90000|Miles|united-club-card|5000|3
Chase|Aeroplan Credit Card|2025-12-02|Spend $4000 in 3 months + additional|120000|Points|aeroplan-credit-card|4000|3
Chase|British Airways Visa Signature Card||Spend $7500 in 6 months|100000|Miles|british-airways-visa-signature-card|7500|6
American Express|American Express Gold Card|2025-06-26|Spend $6000 in 6 months|100000|Points|american-express-gold-card|6000|6
American Express|American Express Platinum Card|2025-09-18|Spend $8000 in 6 months|175000|Points|american-express-platinum-card|8000|6
American Express|Blue Cash Preferred Card from American Express||Spend $3000 in 6 months|250|Cash|blue-cash-preferred-card-from-american-express|3000|6
American Express|Blue Cash Everyday Card from American Express||Spend $2000 in 6 months|200|Cash|blue-cash-everyday-card-from-american-express|2000|6
American Express|Delta SkyMiles Platinum American Express Card||Spend $3000 in 6 months|60000|Miles|delta-skymiles-platinum-american-express-card|3000|6
American Express|Hilton Honors American Express Surpass Card|2026-01-14|Spend $3000 in 6 months|155000|Points|hilton-honors-american-express-surpass-card|3000|6
American Express|American Express Green Card||Spend $3000 in 6 months|40000|Points|american-express-green-card|3000|6
American Express|Marriott Bonvoy Brilliant American Express Card||Spend $6000 in 6 months|100000|Points|marriott-bonvoy-brilliant-american-express-card|6000|6
American Express|Delta SkyMiles Reserve American Express Card||Spend $5000 in 6 months|70000|Miles|delta-skymiles-reserve-american-express-card|5000|6
American Express|Hilton Honors Aspire Card from American Express|2026-01-14|Spend $6000 in 6 months|175000|Points|hilton-honors-aspire-card-from-american-express|6000|6
Capital One|Capital One Venture X Rewards Credit Card|2025-11-12|Spend $10000 in 6 months|100000|Miles|capital-one-venture-x-rewards-credit-card|10000|6
Capital One|Capital One Venture Rewards Credit Card|2025-10-01|Spend $4000 in 3 months|75000|Miles|capital-one-venture-rewards-credit-card|4000|3
Capital One|Capital One Savor Cash Rewards Credit Card||Spend $500 in 3 months|200|Cash|capital-one-savor-cash-rewards-credit-card|500|3
Capital One|Capital One Quicksilver Cash Rewards Credit Card||Spend $500 in 3 months|200|Cash|capital-one-quicksilver-cash-rewards-credit-card|500|3
Capital One|Capital One VentureOne Rewards Credit Card||Spend $500 in 3 months|20000|Miles|capital-one-ventureone-rewards-credit-card|500|3
Capital One|Capital One QuicksilverOne Cash Rewards Credit Card||Spend $500 in 3 months|200|Cash|capital-one-quicksilverone-cash-rewards-credit-card|500|3
Citi|Citi Double Cash Card||No welcome bonus|0|Cash|citi-double-cash-card|0|0
