Card Name,Provider,Annual Fee,Permanent Benefits,Monthly Reset Benefits,Quarterly Reset Benefits,Semi-annually Reset Benefits,Annual Calendar Reset Benefits,Anniversary Year Reset Benefits,Temporary / Intro / Other Benefits
Chase Sapphire Preferred® Card,Chase,$95,"- 5x points on travel via Chase Travel
- 3x on dining/online groceries/streaming
- 2x on other travel
- transferable points to partners
- travel protections (trip cancellation, etc.)",,,,- $50 hotel credit,,
American Express® Gold Card,American Express,$325,"- 3x on flights
- no foreign transaction fees","- $120 Uber Cash ($10/month)
- $120 dining credit ($10/month at select partners)",,- $100 Resy credit ($50 Jan–Jun + $50 Jul–Dec),"- 4x at restaurants up to $50,000/year
- 4x at U.S. supermarkets up to $25,000/year",,
Capital One Venture X Rewards Credit Card,Capital One,$395,"- 10x miles on hotels & rental cars via Capital One Travel
- 5x on flights & vacation rentals via Capital One Travel
- 2x on everything else
- lounge access (Priority Pass + Capital One lounges)
- transferable miles",,,,- $300 travel credit (portal bookings),"- 10,000 anniversary miles",
Chase Freedom Unlimited®,Chase,$0,"- 5% on travel via Chase Travel
- 3% on dining & drugstores
- 1.5% on everything else
- no minimum redemption",,,,,,,- 0% intro APR for 15 months
Wells Fargo Active Cash® Card,Wells Fargo,$0,"- Unlimited 2% cash rewards
- cell phone protection",,,,,,,"- $200 welcome bonus
- 0% intro APR for 12 months"
Blue Cash Preferred® Card from American Express,American Express,"$0 intro, then $95","- 6% on select streaming
- 3% on transit & U.S. gas stations",- $10 monthly statement credit (typically Disney Bundle or similar),,,"- 6% at U.S. supermarkets up to $6,000/year (then 1%)",,- 0% intro APR for 12 months
Citi Double Cash® Card,Citi,$0,"- 2% cash back (1% when you buy + 1% when you pay)
- 5% on hotels & car rentals via Citi Travel",,,,,,,
Capital One Venture Rewards Credit Card,Capital One,$95,"- 5x miles on hotels, vacation rentals & rental cars via Capital One Travel
- 2x on everything else
- transferable miles",,,,- up to $120 Global Entry/TSA PreCheck credit (every 4 years),,- Global Entry/TSA PreCheck credit is every 4 years
Chase Sapphire Reserve®,Chase,$795,"- 8x points on Chase Travel
- 4x on flights & hotels booked direct
- 3x on dining
- Priority Pass lounge access
- transferable points to partners",,,,- $300 annual travel credit (any travel),,
American Express Platinum Card®,American Express,$895,"- 5x on flights & prepaid hotels via Amex Travel
- Centurion, Priority Pass & Delta Sky Club access
- transferable points",- $200 Uber Cash ($15/month + $20 in December),,,"- $300 “entertainment” credit
- $600 hotel credit (likely Fine Hotels & Resorts or similar)",,
Prime Visa,Chase,$0 (with Prime membership),"- 5% at Amazon, Whole Foods, Chase Travel (with Prime)
- 2% at gas stations, restaurants, local transit
- purchase & extended warranty protection",,,,,,,
Discover it® Cash Back,Discover,$0,"- 1% on all non-bonus spend
- Cashback Match (first year only)",,"- 5% on rotating categories (up to $1,500/quarter after activation)",,,,"- 0% intro APR for 15 months on purchases & balance transfers
- Cashback Match (first year)"
Wells Fargo Reflect® Card,Wells Fargo,$0,- cell phone protection,,,,,,,- 0% intro APR for 21 months on purchases & qualifying balance transfers
Capital One Savor Cash Rewards Credit Card,Capital One,$0,"- 8% on Capital One Entertainment
- 5% on hotels & rental cars via Capital One Travel
- 3% on dining, entertainment, groceries (excl. superstores), streaming
- no foreign transaction fees",,,,,,- 0% intro APR for 12 months
Chase Freedom Flex®,Chase,$0,"- 5% on travel via Chase Travel
- 3% on dining & drugstores
- no minimum redemption",,"- 5% on rotating categories (up to $1,500/quarter after activation)",,,,- 0% intro APR for 15 months
Citi Strata Premier® Card,Citi,$95,"- 3x on air travel, hotels, restaurants, supermarkets, gas stations
- transferable points to partners",,,,"- $100 hotel credit (on $500+ stay via Citi Travel)
- 10x on hotels, car rentals & attractions via Citi Travel",,
Blue Cash Everyday® Card from American Express,American Express,$0,"- 3% at U.S. supermarkets up to $6,000/year
- 3% U.S. online retail up to $6,000/year
- 3% U.S. gas stations up to $6,000/year
- no foreign transaction fees",- $7 monthly Disney Bundle credit,,,,,- 0% intro APR for 15 months
Capital One Quicksilver Cash Rewards Credit Card,Capital One,$0,"- Unlimited 1.5% cash back
- 5% on hotels & rental cars via Capital One Travel
- no foreign transaction fees",,,,,,- 0% intro APR for 15 months
United℠ Explorer Card,Chase,"$0 intro, then $150","- 2x miles on United, dining, hotels
- free checked bag & priority boarding on United
- no foreign transaction fees",,,,- $100 United travel credit (after $10K spend),,- Global Entry/TSA PreCheck credit (every 4 years)
Marriott Bonvoy Boundless® Credit Card,Chase,$95,"- 6x points at Marriott
- Silver Elite status",,,,"- 3x on groceries, gas, dining up to $6,000/year","- annual free night award (up to 35,000 points)",
Delta SkyMiles® Platinum American Express Card,American Express,$350,"- 3x miles on Delta & hotels
- 2x at restaurants & U.S. supermarkets
- free checked bag on Delta",- $120 Resy/Rideshare credits ($10/month),,- companion certificate (main cabin),,"- $2,500 Medallion Qualification Dollars headstart each year",
Hilton Honors American Express Surpass® Card,American Express,$150,"- 12x points at Hilton
- 6x at U.S. restaurants, supermarkets, gas
- 4x on U.S. online retail
- Gold status",,- up to $200 Hilton credit ($50/quarter),,- up to $200 Hilton credit (quarterly),- free night award after $15K spend in calendar year,
Southwest Rapid Rewards® Priority Credit Card,Chase,$229,"- 4x points on Southwest purchases
- 2x on gas, restaurants, local transit
- upgraded boardings & inflight Wi-Fi credits",,,,- $75 Southwest travel credit,"- 7,500 anniversary points",
Discover it® Miles,Discover,$0,- Unlimited 1.5x miles on all purchases,,,,,,,"- Mile-for-mile match (first year)
- 0% intro APR for 15 months"
Capital One VentureOne Rewards Credit Card,Capital One,$0,"- 5x miles on hotels & rental cars via Capital One Travel
- 1.25x on everything else
- transferable miles",,,,,,- 0% intro APR for 15 months
IHG One Rewards Premier Credit Card,Chase,$99,"- up to 26x total points at IHG hotels
- Platinum Elite status
- fourth night free on award stays free
- Global Entry/TSA PreCheck credit (every 4 years)",,,,,- annual free night award,
American Express® Green Card,American Express,$150,"- 3x on travel, transit, restaurants worldwide
- no foreign transaction fees
- trip delay insurance",,,- $209 CLEAR Plus credit ($104.50 semi-annually),,,
United Quest℠ Card,Chase,$350,"- 3x miles on United purchases
- 2x on dining, streaming, other travel
- free checked bags
- Premier access",,,,- $200 TravelBank cash (likely calendar year),"- 10,000-mile award flight discount",
Citi Simplicity® Card,Citi,$0,"- no late fees
- no penalty rate
- Quick Lock feature",,,,,,- 0% intro APR for 12 months purchases / 21 months balance transfers
Discover it® Chrome,Discover,$0,"- 2% at gas stations & restaurants up to $1,000/quarter (then 1%)
- 1% on everything else
- Cashback Match (first year)",,"- 2% at gas & restaurants (up to $1,000/quarter)",,,,- 0% intro APR on balance transfers for 18 months
The World of Hyatt Credit Card,Chase,$95,"- up to 9x total points at Hyatt
- Discoverist status",,,,,"- annual free night (Cat 1–4)
- extra free night after $15K spend",
Capital One QuicksilverOne Cash Rewards Credit Card,Capital One,$39,"- 1.5% cash back on all purchases
- 5% on hotels & rental cars via Capital One Travel",,,,,,- credit line reviews (for fair credit)
Marriott Bonvoy Brilliant® American Express® Card,American Express,$650,"- 6x points at Marriott
- 3x on restaurants & flights
- Platinum Elite status",,,,,"- $300 dining credit
- annual free night up to 85,000 points",
Delta SkyMiles® Reserve American Express Card,American Express,$650,"- 3x miles on Delta
- Sky Club access
- free checked bag",- $240 Resy credit ($20/month),,,"- companion certificate (first class)
- $2,500 Medallion Qualification Dollars headstart",,
Hilton Honors Aspire Card from American Express,American Express,$550,"- 14x points at Hilton
- 7x on flights, car rentals, U.S. restaurants
- Diamond status
- annual free night",,- up to $400 resort credit ($200 semi-annually or $100 quarterly),,- $400 resort credit (typically $200 semi-annually),- annual free night award,
Aeroplan® Credit Card,Chase,$95,"- 3x on dining, groceries, Air Canada
- free checked bag on Air Canada",,,,"- 500 bonus points every $2,000 spend (calendar year)",,- 25K status boost (calendar year)
British Airways Visa Signature® Card,Chase,$95,"- 3x Avios on British Airways, Aer Lingus, Iberia, LEVEL
- 2x on hotels booked direct",,,,"- Travel Together Ticket (after $30K spend in calendar year)
- 10% flight discount",,
U.S. Bank Smartly Visa Signature Card,U.S. Bank,$0,- 2%+ cash back (higher with U.S. Bank relationship),,,,,,- requires U.S. Bank account for higher rewards
