Vendor|CardName|EarningRate|Currency|RateCategory|AdditionalDetails|slug-id|IsDefault
Chase|Chase Sapphire Preferred Card|5|points|["Chase Travel"]|through Chase Travel|chase-sapphire-preferred-card|False
Chase|Chase Sapphire Preferred Card|3|points|["Generic Dining", "Generic Groceries", "Streaming"]|dining, online groceries, streaming|chase-sapphire-preferred-card|False
Chase|Chase Sapphire Preferred Card|2|points|["Generic Airlines", "Generic Hotels", "Generic Transportation"]|all other travel (direct)|chase-sapphire-preferred-card|False
Chase|Chase Sapphire Preferred Card|1|points|["Generic Financial & Rewards"]|everything else|chase-sapphire-preferred-card|True
American Express|American Express Gold Card|4|points|["Generic Dining"]|restaurants worldwide|american-express-gold-card|False
American Express|American Express Gold Card|4|points|["Generic Groceries"]|U.S. supermarkets|american-express-gold-card|False
American Express|American Express Gold Card|3|points|["Generic Airlines", "Amex Travel"]|booked direct or via Amex Travel|american-express-gold-card|False
American Express|American Express Gold Card|1|points|["Generic Financial & Rewards"]|everything else|american-express-gold-card|True
Capital One|Capital One Venture X Rewards Credit Card|10|miles|["Capital One Travel"]|hotels & rental cars through portal|capital-one-venture-x-rewards-credit-card|False
Capital One|Capital One Venture X Rewards Credit Card|5|miles|["Generic Entertainment"]|Capital One Entertainment bookings|capital-one-venture-x-rewards-credit-card|False
Capital One|Capital One Venture X Rewards Credit Card|2|miles|["Generic Financial & Rewards"]|everything else|capital-one-venture-x-rewards-credit-card|True
Chase|Chase Freedom Unlimited|5|cash back|["Generic Travel Perks"]|through Chase Travel|chase-freedom-unlimited|False
Chase|Chase Freedom Unlimited|3|cash back|["Generic Dining", "Generic Shopping"]|dining (incl. takeout/delivery) & drugstores|chase-freedom-unlimited|False
Chase|Chase Freedom Unlimited|1.5|cash back|["Generic Financial & Rewards"]|everything else (unlimited)|chase-freedom-unlimited|True
Wells Fargo|Wells Fargo Active Cash Card|2|cash rewards|["Generic Financial & Rewards"]|unlimited everything|wells-fargo-active-cash-card|True
American Express|Blue Cash Preferred Card from American Express|6|cash back|["Generic Groceries"]|U.S. supermarkets (up to $6,000/year, then 1%)|blue-cash-preferred-card-from-american-express|False
American Express|Blue Cash Preferred Card from American Express|6|cash back|["Streaming"]|select U.S. streaming subscriptions|blue-cash-preferred-card-from-american-express|False
American Express|Blue Cash Preferred Card from American Express|3|cash back|["Generic Transportation"]|U.S. gas stations & transit|blue-cash-preferred-card-from-american-express|False
American Express|Blue Cash Preferred Card from American Express|1|cash back|["Generic Financial & Rewards"]|everything else|blue-cash-preferred-card-from-american-express|True
Citi|Citi Double Cash Card|2|cash back|["Generic Financial & Rewards"]|unlimited (1% on purchase + 1% on payment)|citi-double-cash-card|True
Capital One|Capital One Venture Rewards Credit Card|5|miles|["Generic Hotels", "Rental Cars"]|booked through Capital One Travel|capital-one-venture-rewards-credit-card|False
Capital One|Capital One Venture Rewards Credit Card|2|miles|["Generic Financial & Rewards"]|everything else (unlimited)|capital-one-venture-rewards-credit-card|True
Chase|Chase Sapphire Reserve|10|points|["The Edit by Chase Travel", "Rental Cars"]|through Chase Travel & The Edit|chase-sapphire-reserve|False
Chase|Chase Sapphire Reserve|5|points|["Chase Travel"]|flights through Chase Travel|chase-sapphire-reserve|False
Chase|Chase Sapphire Reserve|3|points|["Generic Dining", "Generic Airlines", "Generic Hotels", "Generic Transportation"]|direct travel & dining|chase-sapphire-reserve|False
Chase|Chase Sapphire Reserve|1|points|["Generic Financial & Rewards"]|everything else|chase-sapphire-reserve|True
American Express|American Express Platinum Card|5|points|["Amex Travel", "Generic Airlines"]|direct flights or Amex Travel prepaid hotels|american-express-platinum-card|False
American Express|American Express Platinum Card|1|points|["Generic Financial & Rewards"]|everything else|american-express-platinum-card|True
Chase|Prime Visa|5|cash back|["Amazon", "Whole Foods", "Chase Travel"]|Amazon, Whole Foods, and Portal|prime-visa|False
Chase|Prime Visa|10|cash back|["Generic Shopping"]|rotating items (distinct from generic Amazon)|prime-visa|False
Chase|Prime Visa|2|cash back|["Generic Transportation", "Generic Dining"]|gas & dining|prime-visa|False
Chase|Prime Visa|1|cash back|["Generic Financial & Rewards"]|everything else|prime-visa|True
Discover|Discover it Cash Back|5|cash back|["Rotating Categories"]|quarterly rotating categories|discover-it-cash-back|False
Discover|Discover it Cash Back|1|cash back|["Generic Financial & Rewards"]|everything else|discover-it-cash-back|True
Wells Fargo|Wells Fargo Reflect Card|0|N/A|["Generic Financial & Rewards"]|no ongoing rewards|wells-fargo-reflect-card|True
Capital One|Capital One Savor Cash Rewards Credit Card|3|cash back|["Generic Dining", "Streaming", "Generic Groceries"]|dining, entertainment, streaming, groceries|capital-one-savor-cash-rewards-credit-card|False
Capital One|Capital One Savor Cash Rewards Credit Card|1|cash back|["Generic Financial & Rewards"]|everything else|capital-one-savor-cash-rewards-credit-card|True
Chase|Chase Freedom Flex|5|cash back|["Rotating Categories"]|quarterly rotating categories|chase-freedom-flex|False
Chase|Chase Freedom Flex|5|cash back|["Generic Travel Perks"]|through Chase Travel|chase-freedom-flex|False
Chase|Chase Freedom Flex|3|cash back|["Generic Dining", "Generic Shopping"]|dining & drugstores|chase-freedom-flex|False
Chase|Chase Freedom Flex|1|cash back|["Generic Financial & Rewards"]|everything else|chase-freedom-flex|True
Citi|Citi Strata Premier Card|10|points|["Citi Travel"]|through Citi Travel|citi-strata-premier-card|False
Citi|Citi Strata Premier Card|3|points|["Generic Airlines", "Generic Transportation", "Generic Dining", "Generic Groceries"]|Air, Gas, Dining, Groceries|citi-strata-premier-card|False
Citi|Citi Strata Premier Card|1|points|["Generic Financial & Rewards"]|everything else|citi-strata-premier-card|True
American Express|Blue Cash Everyday Card from American Express|3|cash back|["Generic Groceries"]|U.S. supermarkets|blue-cash-everyday-card-from-american-express|False
American Express|Blue Cash Everyday Card from American Express|3|cash back|["Generic Shopping"]|U.S. online retail|blue-cash-everyday-card-from-american-express|False
American Express|Blue Cash Everyday Card from American Express|3|cash back|["Generic Transportation"]|U.S. gas stations|blue-cash-everyday-card-from-american-express|False
American Express|Blue Cash Everyday Card from American Express|1|cash back|["Generic Financial & Rewards"]|everything else|blue-cash-everyday-card-from-american-express|True
Capital One|Capital One Quicksilver Cash Rewards Credit Card|5|cash back|["Generic Hotels", "Rental Cars"]|booked through Capital One Travel|capital-one-quicksilver-cash-rewards-credit-card|False
Capital One|Capital One Quicksilver Cash Rewards Credit Card|1.5|cash back|["Generic Financial & Rewards"]|unlimited everything else|capital-one-quicksilver-cash-rewards-credit-card|True
Chase|United Explorer Card|2|miles|["United", "Generic Dining", "Generic Hotels"]|United, dining, direct hotels|united-explorer-card|False
Chase|United Explorer Card|1|miles|["Generic Financial & Rewards"]|everything else|united-explorer-card|True
Chase|Marriott Bonvoy Boundless Credit Card|17|points|["Marriott"]|total points at Marriott hotels|marriott-bonvoy-boundless-credit-card|False
Chase|Marriott Bonvoy Boundless Credit Card|3|points|["Generic Dining", "Generic Groceries"]|select categories|marriott-bonvoy-boundless-credit-card|False
Chase|Marriott Bonvoy Boundless Credit Card|2|points|["Generic Financial & Rewards"]|everything else|marriott-bonvoy-boundless-credit-card|True
American Express|Delta SkyMiles Platinum American Express Card|3|miles|["Delta", "Delta Hotels"]|Delta & direct hotels|delta-skymiles-platinum-american-express-card|False
American Express|Delta SkyMiles Platinum American Express Card|2|miles|["Generic Dining", "Generic Groceries"]|supermarkets & restaurants|delta-skymiles-platinum-american-express-card|False
American Express|Delta SkyMiles Platinum American Express Card|1|miles|["Generic Financial & Rewards"]|everything else|delta-skymiles-platinum-american-express-card|True
American Express|Hilton Honors American Express Surpass Card|12|points|["Hilton"]|direct with Hilton properties|hilton-honors-american-express-surpass-card|False
American Express|Hilton Honors American Express Surpass Card|6|points|["Generic Dining", "Generic Groceries", "Gas"]|U.S. restaurants, supermarkets, gas|hilton-honors-american-express-surpass-card|False
American Express|Hilton Honors American Express Surpass Card|4|points|["Generic Shopping"]|U.S. online retail purchases|hilton-honors-american-express-surpass-card|False
American Express|Hilton Honors American Express Surpass Card|3|points|["Generic Financial & Rewards"]|everything else|hilton-honors-american-express-surpass-card|True
Chase|Southwest Rapid Rewards Priority Credit Card|3|points|["Southwest"]|Southwest flights|southwest-rapid-rewards-priority-credit-card|False
Chase|Southwest Rapid Rewards Priority Credit Card|2|points|["Generic Dining", "Generic Hotels", "Rental Cars", "Generic Transportation"]|partners|southwest-rapid-rewards-priority-credit-card|False
Chase|Southwest Rapid Rewards Priority Credit Card|1|points|["Generic Financial & Rewards"]|everything else|southwest-rapid-rewards-priority-credit-card|True
Discover|Discover it Miles|1.5|miles|["Generic Financial & Rewards"]|unlimited everything|discover-it-miles|True
Capital One|Capital One VentureOne Rewards Credit Card|5|miles|["Generic Hotels", "Rental Cars"]|through Capital One Travel|capital-one-ventureone-rewards-credit-card|False
Capital One|Capital One VentureOne Rewards Credit Card|1.25|miles|["Generic Financial & Rewards"]|everything else|capital-one-ventureone-rewards-credit-card|True
Chase|IHG One Rewards Premier Credit Card|26|points|["IHG"]|total points at IHG hotels|ihg-one-rewards-premier-credit-card|False
Chase|IHG One Rewards Premier Credit Card|5|points|["Generic Travel Perks"]|travel categories|ihg-one-rewards-premier-credit-card|False
Chase|IHG One Rewards Premier Credit Card|3|points|["Generic Financial & Rewards"]|everything else|ihg-one-rewards-premier-credit-card|True
American Express|American Express Green Card|3|points|["Generic Travel Perks", "Generic Transportation", "Generic Dining"]|transit, restaurants, travel|american-express-green-card|False
American Express|American Express Green Card|1|points|["Generic Financial & Rewards"]|everything else|american-express-green-card|True
Chase|United Quest Card|3|miles|["United"]|United flights|united-quest-card|False
Chase|United Quest Card|2|miles|["Generic Dining", "Generic Travel Perks", "Streaming"]|dining, streaming, travel|united-quest-card|False
Chase|United Quest Card|1|miles|["Generic Financial & Rewards"]|everything else|united-quest-card|True
Citi|Citi Simplicity Card|0|N/A|["Generic Financial & Rewards"]|no ongoing rewards|citi-simplicity-card|True
Discover|Discover it Chrome|2|cash back|["Generic Transportation", "Generic Dining"]|gas & dining|discover-it-chrome|False
Discover|Discover it Chrome|1|cash back|["Generic Financial & Rewards"]|everything else|discover-it-chrome|True
